,ID,K_bin0_Expression_1,K_bin0_Expression_2,K_bin0_binding_1,K_bin0_binding_2,K_bin1_Expression_1,K_bin1_Expression_2,K_bin1_binding_1,K_bin1_binding_2,K_input_Binding_1,K_input_Binding_2,K_input_Expression_1,K_input_Expression_2,concentration
269,FI353V,,,,22.0,,,,23.0,30.0,32.0,20.0,18.0,A
270,HM774674.1,,,,6.0,,,,2.0,,1.0,,,A
271,MW655277.1,,,,14.0,,,,11.0,5.0,14.0,4.0,3.0,A
272,HM774051.1,,,,20.0,,,,22.0,10.0,8.0,7.0,5.0,A
273,F010-073_1,,,,12.0,,,,3.0,1.0,,1.0,,A
274,315-24-08_1C01,,,,5.0,,,,6.0,1.0,,,1.0,A
275,HM994945.1,,,,27.0,,,,41.0,14.0,7.0,7.0,5.0,A
276,CR9114_N5W,,,,12.0,1.0,,,11.0,2.0,3.0,1.0,1.0,A
277,MN284397.1,,,,,,,,7.0,1.0,,,,A
278,20A-618-30_1C04,,,,6.0,,,,11.0,1.0,,,,A
279,MN288068.1,,,,8.0,1.0,,,9.0,2.0,1.0,1.0,,A
280,MN284404.1,,,,2.0,,,,5.0,,1.0,1.0,1.0,A
281,MN283201.1,,,,,,,,1.0,2.0,1.0,,1.0,A
282,315-06-06_4B02,,,,,,,,6.0,,,1.0,,A
283,AY866684.1,,,,14.0,,,,5.0,1.0,6.0,1.0,2.0,A
284,HM994898.1,,,,17.0,,,,17.0,8.0,3.0,3.0,,A
285,CLK327,26.0,,22.0,5.0,,43.0,,32.0,204.0,275.0,240.0,203.0,A
286,L04335.1,,1.0,,170.0,,,,178.0,37.0,27.0,21.0,12.0,A
287,MN285216.1,,,,9.0,,,1.0,15.0,1.0,2.0,3.0,4.0,A
288,HM995447.1,,,,47.0,,,,67.0,40.0,30.0,12.0,16.0,A
289,CR9114_Y9P,,,,14.0,,,,12.0,1.0,4.0,2.0,1.0,A
290,MN283360.1,,,,12.0,,,,15.0,1.0,5.0,2.0,,A
291,KT304524.1,,,,6.0,,,,7.0,10.0,2.0,1.0,6.0,A
292,BF520.7,66.0,,174.0,193.0,57.0,397.0,,36.0,553.0,964.0,864.0,579.0,A
293,KT304331.1,,,,11.0,,,,12.0,10.0,6.0,1.0,7.0,A
